id,sentence,emotion,layer,confidence
996,That experience left them with lasting regret.,regret,2,0.95
997,They experienced angry in a quiet moment.,anger,1,0.95
998,They struggled with delight but tried to stay composed.,joy,1,0.85
999,They experienced social isolation in a quiet moment.,loneliness,2,0.85
1000,That experience left them with lasting sign of hope.,hope,2,0.92
1001,Everyone noticed the thankful in that moment.,gratitude,3,0.93
1002,The situation brought out deep peace of mind.,inner_peace,3,0.92
1003,Everyone noticed the heartbroken in that moment.,sadness,1,0.93
1004,It was a moment marked by furious.,anger,1,0.83
1005,That experience left them with lasting delight.,joy,1,0.95
1006,Everyone noticed the inner peace in that moment.,inner_peace,3,0.95
1007,The situation brought out deep regret.,regret,2,0.93
1008,They struggled with expressed anger but tried to stay composed.,anger,1,0.83
1009,That experience left them with lasting peace of mind.,inner_peace,3,0.92
1010,They struggled with mourning but tried to stay composed.,sadness,1,0.83
1011,A sudden feeling of grief filled their heart.,sadness,1,0.92
1012,A sudden feeling of acceptance filled their heart.,joy,1,0.83
1013,They struggled with sad but tried to stay composed.,sadness,1,0.73
1014,That experience left them with lasting human connection.,empathy,2,0.83
1015,They experienced understanding others in a quiet moment.,empathy,2,0.92
1016,It reflected a genuine feeling of human connection.,empathy,2,0.83
1017,They struggled with expressed regret but tried to stay composed.,regret,2,0.83
1018,The situation brought out deep felt regret.,regret,2,0.95
1019,A sudden feeling of afraid filled their heart.,fear,1,0.95
1020,A sudden feeling of deeply moved filled their heart.,joy,1,0.83
1022,It reflected a genuine feeling of grief.,sadness,1,0.92
1023,It was a moment marked by remorse.,regret,2,0.92
1024,It reflected a genuine feeling of human connection.,empathy,2,0.83
1025,That experience left them with lasting fear.,fear,1,0.92
1026,That experience left them with lasting deeply moved.,sadness,1,0.82
1027,They struggled with sign of hope but tried to stay composed.,hope,2,0.83
1028,A sudden feeling of mourning filled their heart.,sadness,1,0.93
1029,They experienced expressed gratitude in a quiet moment.,gratitude,3,0.95
1031,There was a clear sense of remorse throughout the day.,regret,2,0.92
1032,The situation brought out deep expressed regret.,regret,2,0.92
1033,It was a moment marked by sign of hope.,hope,2,0.92
1034,Everyone noticed the fear in that moment.,fear,1,0.95
1035,Everyone noticed the furious in that moment.,anger,1,0.92
1036,That experience left them with lasting wonder.,awe,3,0.92
1037,The situation brought out deep wonder.,awe,3,0.83
1039,It reflected a genuine feeling of loneliness.,loneliness,2,0.95
1040,They experienced empathy in a quiet moment.,empathy,2,0.95
1041,You could sense the compassion in their voice.,compassion,3,0.95
1042,They struggled with sad but tried to stay composed.,sadness,1,0.78
1043,There was a clear sense of expressed gratitude throughout the day.,gratitude,3,0.95
1044,That experience left them with lasting grief.,sadness,1,0.95
1045,Everyone noticed the social isolation in that moment.,loneliness,2,0.83
1046,You could sense the furious in their voice.,anger,1,0.93
1047,They struggled with hope but tried to stay composed.,hope,2,0.85
1048,There was a clear sense of happiness throughout the day.,joy,1,0.95
1049,It reflected a genuine feeling of anger.,anger,1,0.95
1050,Everyone noticed the outrage in that moment.,anger,1,0.83
1051,You could sense the thankful in their voice.,gratitude,3,0.92
1052,You could sense the expressed gratitude in their voice.,gratitude,3,0.92
1053,Everyone noticed the expressed fear in that moment.,fear,1,0.83
1054,Everyone noticed the terrified in that moment.,fear,1,0.95
1055,There was a clear sense of regret throughout the day.,regret,2,0.95
1056,You could sense the hope in their voice.,hope,2,0.92
1057,That experience left them with lasting expressed hope.,hope,2,0.92
1058,The situation brought out deep hope.,hope,2,0.98
1059,Everyone noticed the mourning in that moment.,sadness,1,0.83
1060,A sudden feeling of furious filled their heart.,anger,1,0.95
1061,It reflected a genuine feeling of hope.,hope,2,0.95
1062,It was a moment marked by remorse.,regret,2,0.92
1063,It reflected a genuine feeling of loneliness.,loneliness,2,0.95
1064,The situation brought out deep afraid.,fear,1,0.92
1065,They struggled with outrage but tried to stay composed.,anger,1,0.83
1066,You could sense the compassionate in their voice.,compassion,3,0.92
1067,They struggled with awe but tried to stay composed.,awe,3,0.83
1069,There was a clear sense of thankful throughout the day.,gratitude,3,0.92
1070,There was a clear sense of terrified throughout the day.,fear,1,0.92
1071,They experienced letting go in a quiet moment.,inner_peace,3,0.85
1072,A sudden feeling of remorse filled their heart.,regret,2,0.92
1073,You could sense the happy in their voice.,joy,1,0.92
1074,A sudden feeling of felt regret filled their heart.,regret,2,0.95
1075,They struggled with anger but tried to stay composed.,anger,1,0.83
1076,They struggled with awe but tried to stay composed.,awe,3,0.83
1077,The situation brought out deep hopeful.,hope,2,0.93
1079,It was a moment marked by hopeful.,hope,2,0.93
1080,You could sense the joy in their voice.,joy,1,0.92
1081,A sudden feeling of felt sympathy filled their heart.,empathy,2,0.92
1082,There was a clear sense of deeply moved throughout the day.,joy,1,0.73
1083,The situation brought out deep felt regret.,regret,2,0.93
1084,It was a moment marked by anger.,anger,1,0.95
1085,It was a moment marked by panic.,fear,1,0.92
1086,They experienced calmness in a quiet moment.,inner_peace,3,0.92
1087,Everyone noticed the thankful in that moment.,gratitude,3,0.92
1088,It reflected a genuine feeling of public anger.,anger,1,0.92
1089,It was a moment marked by deeply moved.,joy,1,0.83
1090,It was a moment marked by sympathy.,empathy,2,0.93
1091,You could sense the expressed gratitude in their voice.,gratitude,3,0.93
1092,The situation brought out deep empathy.,empathy,2,0.95
1093,There was a clear sense of hope throughout the day.,hope,2,0.95
1094,They experienced thankful in a quiet moment.,gratitude,3,0.92
1095,They experienced thankful in a quiet moment.,gratitude,3,0.92
1096,It was a moment marked by expressed regret.,regret,2,0.95
1097,Everyone noticed the celebration in that moment.,joy,1,0.92
1098,They experienced empathy in a quiet moment.,empathy,2,0.95
1099,They experienced angry in a quiet moment.,anger,1,0.83
1100,There was a clear sense of panic throughout the day.,fear,1,0.92
1101,They experienced isolation in a quiet moment.,loneliness,2,0.92
1102,A sudden feeling of happiness filled their heart.,joy,1,0.95
1103,It was a moment marked by gratitude.,gratitude,3,0.95
1104,The situation brought out deep letting go.,sadness,1,0.87
1105,They experienced sadness in a quiet moment.,sadness,1,0.95
1106,That experience left them with lasting furious.,anger,1,0.92
1107,They experienced sense of awe in a quiet moment.,awe,3,0.95
1108,They experienced furious in a quiet moment.,anger,1,0.92
1109,The situation brought out deep deeply moved.,sadness,1,0.92
1110,You could sense the remorse in their voice.,regret,2,0.92
1111,They struggled with thankful but tried to stay composed.,gratitude,3,0.73
1112,You could sense the delight in their voice.,joy,1,0.92
1113,You could sense the empathy in their voice.,empathy,2,0.93
1114,They struggled with lonely but tried to stay composed.,loneliness,2,0.83
1115,You could sense the grateful in their voice.,gratitude,3,0.92
1116,There was a clear sense of expressed hope throughout the day.,hope,2,0.98
1117,That experience left them with lasting human connection.,compassion,3,0.83
1118,The situation brought out deep remorse.,regret,2,0.95
1119,You could sense the happiness in their voice.,joy,1,0.92
1120,You could sense the grateful in their voice.,gratitude,3,0.93
1121,They experienced joy in a quiet moment.,joy,1,0.92
1122,It reflected a genuine feeling of compassionate.,compassion,3,0.92
1123,They struggled with fear but tried to stay composed.,fear,1,0.93
1124,They experienced lonely in a quiet moment.,loneliness,2,0.92
1125,There was a clear sense of sadness throughout the day.,sadness,1,0.95
1126,They experienced felt regret in a quiet moment.,regret,2,0.92
1127,You could sense the expressed gratitude in their voice.,gratitude,3,0.92
1128,A sudden feeling of expressed joy filled their heart.,joy,1,0.95
1129,They experienced happy in a quiet moment.,joy,1,0.92
1130,A sudden feeling of isolation filled their heart.,loneliness,2,0.92
1131,Everyone noticed the understanding others in that moment.,empathy,2,0.92
1132,You could sense the afraid in their voice.,fear,1,0.83
1133,Everyone noticed the mourning in that moment.,sadness,1,0.95
1134,A sudden feeling of felt sympathy filled their heart.,empathy,2,0.93
1135,It reflected a genuine feeling of outrage.,anger,1,0.92
1136,They experienced hope in a quiet moment.,hope,2,0.93
1137,It reflected a genuine feeling of expressed regret.,regret,2,0.92
1138,You could sense the mercy in their voice.,compassion,3,0.83
1139,It was a moment marked by hopeful.,hope,2,0.92
1140,There was a clear sense of grateful throughout the day.,gratitude,3,0.95
1141,A sudden feeling of lonely filled their heart.,loneliness,2,0.92
1142,Everyone noticed the expressed hope in that moment.,hope,2,0.95
1143,The situation brought out deep sense of awe.,awe,3,0.95
1144,There was a clear sense of letting go throughout the day.,sadness,1,0.73
1145,A sudden feeling of expressed anger filled their heart.,anger,1,0.98
1146,That experience left them with lasting frightened.,fear,1,0.93
1148,It reflected a genuine feeling of grateful.,gratitude,3,0.98
1149,It was a moment marked by outrage.,anger,1,0.92
1150,You could sense the heartbroken in their voice.,sadness,1,0.92
1151,That experience left them with lasting connectedness.,gratitude,3,0.92
1152,They struggled with isolation but tried to stay composed.,loneliness,2,0.83
1153,They struggled with mercy but tried to stay composed.,empathy,2,0.73
1154,You could sense the wonder in their voice.,awe,3,0.92
1155,That experience left them with lasting compassion.,compassion,3,0.95
1156,Everyone noticed the remorse in that moment.,regret,2,0.93
1157,There was a clear sense of sympathy throughout the day.,empathy,2,0.92
1158,It reflected a genuine feeling of sign of hope.,hope,2,0.92
1159,It reflected a genuine feeling of compassionate.,compassion,3,0.95
1160,It reflected a genuine feeling of sad.,sadness,1,0.95
1161,It was a moment marked by compassion.,compassion,3,0.95
1162,The situation brought out deep mercy.,compassion,3,0.92
1163,That experience left them with lasting empathy.,empathy,2,0.95
1164,They struggled with isolation but tried to stay composed.,loneliness,2,0.73
1165,It reflected a genuine feeling of inner peace.,inner_peace,3,0.95
1166,They experienced awe in a quiet moment.,awe,3,0.95
1167,They experienced anger in a quiet moment.,anger,1,0.9
1168,There was a clear sense of grief throughout the day.,sadness,1,0.93
1169,That experience left them with lasting happy.,joy,1,0.92
1170,The situation brought out deep terrified.,fear,1,0.92
1171,That experience left them with lasting isolation.,loneliness,2,0.83
1172,It was a moment marked by expressed sadness.,sadness,1,0.92
1173,Everyone noticed the loneliness in that moment.,loneliness,2,0.95
1174,You could sense the awe in their voice.,awe,3,0.95
1175,That experience left them with lasting deeply moved.,sadness,1,0.92
1176,A sudden feeling of thankful filled their heart.,gratitude,3,0.95
1177,That experience left them with lasting expressed regret.,regret,2,0.95
1178,The situation brought out deep fear.,fear,1,0.92
1179,It was a moment marked by hope.,hope,2,0.93
1180,There was a clear sense of calmness throughout the day.,inner_peace,3,0.92
1181,There was a clear sense of frightened throughout the day.,fear,1,0.93
1182,You could sense the loneliness in their voice.,loneliness,2,0.93
1183,They experienced awe in a quiet moment.,awe,3,0.93
1184,You could sense the acceptance in their voice.,empathy,2,0.83
1185,A sudden feeling of isolation filled their heart.,loneliness,2,0.92
1186,A sudden feeling of acceptance filled their heart.,gratitude,3,0.85
1187,The situation brought out deep sense of awe.,awe,3,0.93
1188,You could sense the outrage in their voice.,anger,1,0.92
1189,A sudden feeling of sign of hope filled their heart.,hope,2,0.93
1190,It was a moment marked by expressed joy.,joy,1,0.95
1191,Everyone noticed the loneliness in that moment.,loneliness,2,0.95
1192,It reflected a genuine feeling of expressed hope.,hope,2,0.95
1193,A sudden feeling of grief filled their heart.,sadness,1,0.93
1194,You could sense the panic in their voice.,fear,1,0.92
1195,The situation brought out deep celebration.,joy,1,0.95
1196,That experience left them with lasting expressed anger.,anger,1,0.95
1197,Everyone noticed the gratitude in that moment.,gratitude,3,0.98
1198,It was a moment marked by hopeful.,hope,2,0.92
1199,There was a clear sense of fear throughout the day.,fear,1,0.95
